id,geom,grid_id,p_val,p_m,p_w,d_csv,d_coffee,d_kfood,d_pharm,d_salon,sido_cd,sido_nm,버스정류장수,1km이내_버스정류장_수,500m이내_버스정류장_수,300m이내_버스정류장_수,200m이내_버스정류장_수,100m이내_버스정류장_수,당월_매출_금액,당월_매출_건수,개업_점포_수,폐업_점포_수
676,"MULTIPOLYGON (((186175.63836087068 547187.9986357271, 186175.10661136344 547288.0333271535, 186275.14130821548 547288.5650821287, 186275.6730577635 547188.53037981, 186175.63836087068 547187.9986357271)))",다사420474,519,255,264,0,0,0,0,1,11,서울특별시,0,35,2,0,0,0,1226327707,802533.5,0.857142857,0.971428571
677,"MULTIPOLYGON (((186175.10661136344 547288.0333271535, 186174.5748509618 547388.0680185411, 186274.60954777568 547388.5997844064, 186275.14130821548 547288.5650821287, 186175.10661136344 547288.0333271535)))",다사420475,561,279,282,0,0,0,0,0,11,서울특별시,0,35,2,0,0,0,246225955.3,536607,0.314285714,0.542857143
211,"MULTIPOLYGON (((184873.06123103123 547581.2241652649, 184872.52943845224 547681.25871495, 184972.56399356166 547681.7905129942, 184973.09578617918 547581.7559524189, 184873.06123103123 547581.2241652649)))",다사407478,0,0,0,0,0,0,0,0,11,서울특별시,0,23,4,0,0,0,0,0,0,0
69,"MULTIPOLYGON (((184581.9964364101 545879.0420092067, 184581.46482911118 545979.0765268455, 184681.49935217714 545979.6081396091, 184682.03095951205 545879.5736110761, 184581.9964364101 545879.0420092067)))",다사404461,0,0,0,0,0,0,0,0,11,서울특별시,0,14,6,3,0,0,0,0,0,0
424,"MULTIPOLYGON (((185380.67807078082 546183.3986394501, 185380.1464305032 546283.4332441211, 185480.18104060303 546283.9648898639, 185480.71268091712 546183.9302742991, 185380.67807078082 546183.3986394501)))",다사412464,0,0,0,0,0,0,0,0,11,서울특별시,1,35,14,5,3,2,0,0,0,0
425,"MULTIPOLYGON (((185380.1464305032 546283.4332441211, 185379.61477933434 546383.4678487553, 185479.64938939587 546383.9995053902, 185480.18104060303 546283.9648898639, 185380.1464305032 546283.4332441211)))",다사412465,78,38,40,0,0,0,0,0,11,서울특별시,1,33,14,6,2,1,0,0,0,0
606,"MULTIPOLYGON (((185986.2017009232 545186.2417466859, 185985.6701693555 545286.2764171034, 186085.7048452001 545286.8079541412, 186086.2363768092 545186.7732728273, 185986.2017009232 545186.2417466859)))",다사418454,0,0,0,0,0,0,0,0,11,서울특별시,0,29,13,5,1,0,0,0,0,0
607,"MULTIPOLYGON (((185985.6701693555 545286.2764171034, 185985.13862689206 545386.3110874832, 186085.17330269792 545386.842635414, 186085.7048452001 545286.8079541412, 185985.6701693555 545286.2764171034)))",다사418455,0,0,0,0,0,0,0,0,11,서울특별시,0,29,12,6,5,0,0,0,0,0
608,"MULTIPOLYGON (((185985.13862689206 545386.3110874832, 185984.60707353224 545486.3457578234, 186084.64174930204 545486.8773166478, 186085.17330269792 545386.842635414, 185985.13862689206 545386.3110874832)))",다사418456,1341,658,683,0,0,0,0,1,11,서울특별시,1,31,12,7,6,3,0,0,0,0
609,"MULTIPOLYGON (((185984.60707353224 545486.3457578234, 185984.07550928212 545586.380428124, 186084.11018500957 545586.911997842, 186084.64174930204 545486.8773166478, 185984.60707353224 545486.3457578234)))",다사418457,0,0,0,0,0,1,0,0,11,서울특별시,1,32,12,8,5,3,0,0,0,0
616,"MULTIPOLYGON (((185980.88589500153 546186.5884491187, 185980.3542544944 546286.6231191495, 186080.38892995092 546287.1547651223, 186080.9205704974 546187.1200842, 185980.88589500153 546186.5884491187)))",다사418464,542,283,259,0,0,0,0,0,11,서울특별시,0,38,10,4,1,0,0,0,0,0
617,"MULTIPOLYGON (((185980.3542544944 546286.6231191495, 185979.82260309404 546386.6577891406, 186079.85727851384 546387.1894460071, 186080.38892995092 546287.1547651223, 185980.3542544944 546286.6231191495)))",다사418465,643,307,336,0,0,0,0,0,11,서울특별시,0,37,11,4,3,0,0,0,0,0
275,"MULTIPOLYGON (((184964.5857974527 549182.3089171461, 184964.05383059336 549282.3434771257, 185064.0883959965 549282.8754494471, 185064.62036289246 549182.8408785786, 184964.5857974527 549182.3089171461)))",다사408494,90,40,50,1,0,0,0,0,11,서울특별시,0,43,5,0,0,0,0,0,0,0
630,"MULTIPOLYGON (((186086.76789752138 545086.7385914766, 186086.2363768092 545186.7732728273, 186186.27106358757 545187.3047990082, 186186.80258433873 545087.2701067617, 186086.76789752138 545086.7385914766)))",다사419453,0,0,0,0,0,0,0,0,11,서울특별시,0,27,5,2,0,0,0,0,0,0
631,"MULTIPOLYGON (((186086.2363768092 545186.7732728273, 186085.7048452001 545286.8079541412, 186185.73953193997 545287.3394912144, 186186.27106358757 545187.3047990082, 186086.2363768092 545186.7732728273)))",다사419454,77,39,38,0,0,0,0,0,11,서울특별시,0,27,9,5,2,0,0,0,0,0
633,"MULTIPOLYGON (((186085.17330269792 545386.842635414, 186084.64174930204 545486.8773166478, 186184.67643596398 545487.4088755111, 186185.2079893975 545387.3741833821, 186085.17330269792 545386.842635414)))",다사419456,29,13,16,0,0,0,0,0,11,서울특별시,1,29,11,8,5,2,0,0,0,0
634,"MULTIPOLYGON (((186084.64174930204 545486.8773166478, 186084.11018500957 545586.911997842, 186184.14487163431 545587.4435675996, 186184.67643596398 545487.4088755111, 186084.64174930204 545486.8773166478)))",다사419457,0,0,0,0,0,0,0,0,11,서울특별시,0,32,10,9,6,1,0,0,0,0
635,"MULTIPOLYGON (((186084.11018500957 545586.911997842, 186083.5786098266 545686.9466790002, 186183.61329641007 545687.4782596501, 186184.14487163431 545587.4435675996, 186084.11018500957 545586.911997842)))",다사419458,805,395,410,0,0,1,0,0,11,서울특별시,0,31,9,8,6,1,0,0,0,0
636,"MULTIPOLYGON (((186083.5786098266 545686.9466790002, 186083.04702374793 545786.9813601157, 186183.0817102928 545787.5129516614, 186183.61329641007 545687.4782596501, 186083.5786098266 545686.9466790002)))",다사419459,0,0,0,0,0,0,0,0,11,서울특별시,0,34,9,7,3,1,0,0,0,0
678,"MULTIPOLYGON (((186174.5748509618 547388.0680185411, 186174.04307966953 547488.102709889, 186274.0777764457 547488.6344866465, 186274.60954777568 547388.5997844064, 186174.5748509618 547388.0680185411)))",다사420476,265,121,144,0,0,0,0,2,11,서울특별시,0,33,2,0,0,0,246225955.3,536607,0.314285714,0.542857143
428,"MULTIPOLYGON (((185378.55144431588 546583.5370579096, 185378.0197604673 546683.5716624291, 185478.0543704141 546684.1033517421, 185478.58605429978 546584.0687363312, 185378.55144431588 546583.5370579096)))",다사412468,283,144,139,0,0,0,0,0,11,서울특별시,0,29,11,2,1,0,598544076.4,1151427,0.451612903,0.838709677
723,"MULTIPOLYGON (((186374.64425548204 547389.1315503106, 186374.11248411043 547489.1662634437, 186474.14720266793 547489.6980402784, 186474.6789740782 547389.6633162559, 186374.64425548204 547389.1315503106)))",다사422476,635,333,302,1,0,0,0,0,11,서울특별시,0,27,3,0,0,0,246225955.3,536607,0.314285714,0.542857143
124,"MULTIPOLYGON (((184671.39674321943 547880.2641746708, 184670.8649180407 547980.2987024616, 184770.899451258 547980.8305331025, 184771.4312764731 547880.7959944208, 184671.39674321943 547880.2641746708)))",다사405481,98,49,49,0,0,0,0,0,11,서울특별시,0,24,4,0,0,0,301774802.5,887839,0.583333333,0.62962963
125,"MULTIPOLYGON (((184670.8649180407 547980.2987024616, 184670.33308197084 548080.3332302151, 184770.36761515215 548080.8650717475, 184770.899451258 547980.8305331025, 184670.8649180407 547980.2987024616)))",다사405482,75,45,30,0,0,0,0,0,11,서울특별시,0,28,7,1,0,0,464283719,1374034,0.611111111,0.888888889
126,"MULTIPOLYGON (((184670.33308197084 548080.3332302151, 184669.80123501152 548180.367757933, 184769.8357681572 548180.8996103562, 184770.36761515215 548080.8650717475, 184670.33308197084 548080.3332302151)))",다사405483,567,325,242,0,0,0,0,0,11,서울특별시,0,29,10,2,0,0,464283719,1374034,0.611111111,0.888888889
276,"MULTIPOLYGON (((184964.05383059336 549282.3434771257, 184963.52185284498 549382.3780370645, 185063.55641820963 549382.9100202752, 185064.0883959965 549282.8754494471, 184964.05383059336 549282.3434771257)))",다사408495,626,301,325,0,0,0,0,0,11,서울특별시,0,44,4,0,0,0,0,0,0,0
637,"MULTIPOLYGON (((186083.04702374793 545786.9813601157, 186082.5154267752 545887.0160411953, 186182.55011328193 545887.5476436345, 186183.0817102928 545787.5129516614, 186083.04702374793 545786.9813601157)))",다사419460,297,136,161,0,0,0,0,0,11,서울특별시,0,36,9,3,1,0,0,0,0,0
639,"MULTIPOLYGON (((186081.98381891003 545987.0507222358, 186081.45220014948 546087.0854032367, 186181.4868865789 546087.6170274626, 186182.0185053768 545987.5823355673, 186081.98381891003 545987.0507222358)))",다사419462,0,0,0,0,0,0,0,0,11,서울특별시,0,37,8,0,0,0,0,0,0,0
640,"MULTIPOLYGON (((186081.45220014948 546087.0854032367, 186080.9205704974 546187.1200842, 186180.9552568877 546187.6517193174, 186181.4868865789 546087.6170274626, 186081.45220014948 546087.0854032367)))",다사419463,779,377,402,0,0,0,0,0,11,서울특별시,0,37,5,1,0,0,0,0,0,0
